"","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"L.R. Chisq","disability","1","2662","332","259","6","1.07300362401818","1.02619179030594","1.12195087510193","1.1217609516809","1.02283686724203","1.2302525192595","0.842571684588989","0.358662302097485"
"L.R. Chisq1","disability","2","195","54","3","1","0.973404248259964","0.918465418762351","1.03162929292138","1.09525892397826","0.927725640593319","1.29304619605731","0.0155859931542799","0.900647151770308"
"L.R. Chisq2","financial discrimination","1","7581","7068","504","151","1.08431841160481","1.07152533893809","1.09726422233783","1.19506157814042","1.14760044835281","1.24448555034759","13.0384090132727","0.000305167229993741"
"L.R. Chisq3","financial discrimination","2","959","859","29","11","1.02749255414842","0.99878940488399","1.05702057277336","1.07149767322595","0.96016811140178","1.19573567388367","0.152353244095799","0.696296581575662"
"L.R. Chisq4","financial discrimination, female","1","4257","4131","238","76","1.07266139108299","1.05715053045081","1.08839983216906","1.21397472039203","1.15690729954373","1.2738571381926","5.57932208002097","0.0181737562429043"
"L.R. Chisq5","financial discrimination, female","2","486","452","11","5","1.01574757603057","0.981244191037427","1.05146419987584","1.08561402433857","0.947890836529889","1.24334761390367","0.0262540893686083","0.87128133404299"
"L.R. Chisq6","financial discrimination, male","1","3324","2937","266","75","1.0998130286857","1.07835001617851","1.12170323171449","1.20129892553419","1.12070608009539","1.28768740896522","7.74046143546514","0.00539970010588942"
"L.R. Chisq7","financial discrimination, male","2","473","407","18","6","1.040522452453","0.993801981343479","1.08943933940961","1.0863283508245","0.909526218795812","1.29749891912682","0.156281505298022","0.692603378507488"
"L.R. Chisq8","sex discrimination, female","1","4257","4131","374","512","0.876794590900147","0.861480378275753","0.892381038521671","1.59140082861738","1.50364703633729","1.68427598772985","24.7715223980512","6.45440479729587e-07"
"L.R. Chisq9","sex discrimination, female","2","486","452","57","57","0.844826742456781","0.795048448405408","0.897721674951553","1.77091864640173","1.40978983604533","2.22455345611706","3.95459773819503","0.0467434889356459"
"L.R. Chisq10","sex discrimination, male","1","3324","2937","114","114","0.967904559275335","0.95534651832254","0.980627675820647","1.2165715473113","1.16386522454504","1.27166470697322","1.10112576238541","0.294019179223285"
"L.R. Chisq11","sex discrimination, male","2","473","407","7","18","0.913968091531279","0.883566914005288","0.945415292375162","1.21443616535191","1.07240600506101","1.37527689396961","1.00352658602007","0.316458679312664"
"L.R. Chisq12","race discrimination","1","192","705","33","140","0.928531373814097","0.852690773741586","1.01111743988258","1.50841458021612","1.09374348661925","2.08029997311488","0.549294080712272","0.458606275882394"
"L.R. Chisq13","race discrimination","2","18","12","5","2","1.31113228917161","0.88954314764932","1.93252894393166","5.45026822254049","1.36108012803475","21.8248897223461","0.341788901242864","0.558798449829698"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.R. Chisq14","weight discrimination,  BMI>29.9","1","1771","4720","167","185","1.03505485498062","1.01792608970016","1.05247184806367","1.35600735557913","1.28195226364213","1.43434042010317","1.20251037408019","0.272820512112654"
"L.R. Chisq15","weight discrimination,  BMI>29.9","2","154","472","10","14","0.996149568684241","0.945538228075449","1.04946995660827","1.36782189159745","1.12492272320284","1.66316911245811","0.00126188764258117","0.97166266043066"
"L.R. Chisq16","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","0.990836041279341","0.982608832714348","0.999132134794804","1.05884382196617","1.0305485361504","1.08791599811879","0.0480220984164674","0.826541421106662"
"L.R. Chisq17","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","0.990836041279341","0.982608832714348","0.999132134794804","1.05884382196617","1.0305485361504","1.08791599811879","0.0480220984164674","0.826541421106662"
"L.R. Chisq18","weight discrimination,  BMI>25.0 ","1","3993","6308","183","199","0.997266641591164","0.986990703956423","1.00764956594204","1.26475102949689","1.2200634232027","1.31107542132072","0.0132739967032762","0.908276427785354"
"L.R. Chisq19","weight discrimination,  BMI>25.0 ","2","477","725","11","14","0.978055127440564","0.953497411544491","1.00324533735574","1.20872175971757","1.09456023120649","1.3347902205476","0.08977406035104","0.764464587789751"
